Term,P(class1),P(class2),P(class3),P(class4)
96.04%,0.0001,0.0001,0.0003,0.0002
96.24%,0.0001,0.0001,0.0003,0.0002
96.25%,0.0001,0.0001,0.0005,0.0002
96.7%,0.0001,0.0001,0.0003,0.0002
96.97%,0.0002,0.0001,0.0002,0.0002
97%,0.0001,0.0001,0.0003,0.0002
97.49%,0.0002,0.0001,0.0002,0.0002
98%,0.0001,0.0003,0.0002,0.0002
98.14%,0.0002,0.0001,0.0002,0.0002
98.79%,0.0001,0.0003,0.0002,0.0002
98.86%,0.0002,0.0001,0.0002,0.0002
99,0.0001,0.0003,0.0002,0.0002
99%,0.0001,0.0004,0.0002,0.0002
_,0.0005,0.0001,0.0002,0.0002
abc,0.0008,0.0001,0.0002,0.0002
abc-ga-ql,0.0005,0.0001,0.0002,0.0002
abl,0.0005,0.0008,0.0017,0.0005
abnorm,0.0001,0.0004,0.0002,0.0002
abs,0.0002,0.0001,0.0002,0.0002
absolv,0.0001,0.0005,0.0007,0.0002
abstract,0.0002,0.0001,0.0002,0.0002
academ,0.0001,0.0003,0.0002,0.0005
acc,0.0016,0.0045,0.0078,0.0014
acceiv,0.0004,0.0003,0.0002,0.0002
accel,0.0004,0.0004,0.0003,0.0002
access,0.0003,0.0003,0.0002,0.0005
accompany,0.0001,0.0001,0.0002,0.0004
accompl,0.0002,0.0001,0.0003,0.0004
accord,0.0005,0.0003,0.0002,0.0004
account,0.0002,0.0003,0.0002,0.0002
achiev,0.0026,0.0021,0.0021,0.0011
aco,0.0002,0.0001,0.0002,0.0002
acoust,0.0004,0.0001,0.0002,0.0002
acquir,0.0001,0.0003,0.0003,0.0002
acquisit,0.0001,0.0003,0.0002,0.0004
across,0.0022,0.0013,0.0007,0.0007
act,0.0008,0.0007,0.0007,0.0007
ad,0.0002,0.0003,0.0002,0.0002
adaboost,0.0001,0.0003,0.0003,0.0002
adam,0.0001,0.0003,0.0002,0.0002
adapt,0.0024,0.0019,0.001,0.0009
adasyn,0.0001,0.0003,0.0002,0.0002
addit,0.0014,0.0011,0.0014,0.0011
address,0.0035,0.0017,0.0017,0.0009
adf,0.0001,0.0003,0.0002,0.0002
adh,0.0001,0.0003,0.0002,0.0002
adjust,0.0006,0.0004,0.001,0.0002
admin,0.0002,0.0001,0.0002,0.0002
adopt,0.0001,0.0004,0.0007,0.0002
adv,0.0016,0.0015,0.0009,0.0016
advers,0.0002,0.0001,0.0002,0.0004
aef,0.0002,0.0001,0.0002,0.0002
affect,0.0002,0.0003,0.0002,0.0002
affin,0.0002,0.0001,0.0002,0.0002
afterward,0.0002,0.0001,0.0005,0.0002
ag,0.0005,0.0001,0.0002,0.0004
aggreg,0.0004,0.0004,0.0003,0.0018
agil,0.0001,0.0003,0.0002,0.0002
