Term,P(class1),P(class2),P(class3),P(class4)
77.6%,0.0001,0.0001,0.0003,0.0002
77.7%,0.0002,0.0001,0.0002,0.0002
79.5%,0.0001,0.0001,0.0003,0.0002
79.6%,0.0001,0.0001,0.0003,0.0002
79.77%,0.0002,0.0001,0.0002,0.0002
8,0.0001,0.0003,0.0002,0.0003
80%,0.0002,0.0001,0.0002,0.0002
80.9%,0.0002,0.0001,0.0002,0.0002
80.92%,0.0002,0.0001,0.0002,0.0002
81%,0.0001,0.0001,0.0003,0.0002
84,0.0002,0.0001,0.0002,0.0002
85,0.0003,0.0001,0.0002,0.0002
85.4%,0.0001,0.0001,0.0003,0.0002
85.96%,0.0001,0.0001,0.0003,0.0002
86.93%,0.0001,0.0003,0.0002,0.0002
87.02%,0.0002,0.0001,0.0002,0.0002
87.18,0.0002,0.0001,0.0002,0.0002
88,0.0001,0.0001,0.0003,0.0002
89.8%,0.0001,0.0001,0.0003,0.0002
9,0.0002,0.0005,0.0003,0.0002
9.1%,0.0002,0.0001,0.0002,0.0002
9.35%,0.0001,0.0001,0.0003,0.0002
9.4%,0.0002,0.0001,0.0002,0.0002
90%,0.0002,0.0001,0.0002,0.0002
90.75%,0.0001,0.0001,0.0003,0.0002
90.76%,0.0001,0.0001,0.0003,0.0002
9019,0.0001,0.0003,0.0002,0.0002
92%,0.0001,0.0003,0.0002,0.0002
92.45%,0.0001,0.0003,0.0002,0.0002
92.63%,0.0001,0.0001,0.0003,0.0002
93.2%,0.0001,0.0003,0.0002,0.0002
93.33%,0.0001,0.0001,0.0003,0.0002
93.8%,0.0001,0.0001,0.0003,0.0002
94.3%,0.0001,0.0001,0.0003,0.0002
94.38%,0.0001,0.0003,0.0002,0.0002
94.785,0.0001,0.0003,0.0002,0.0002
95%,0.0001,0.0001,0.0003,0.0002
95.1%,0.0001,0.0001,0.0003,0.0002
95.11%,0.0002,0.0001,0.0002,0.0002
95.44%,0.0002,0.0001,0.0002,0.0002
95.6%,0.0001,0.0001,0.0003,0.0002
96%,0.0001,0.0001,0.0005,0.0002
96.04%,0.0001,0.0001,0.0003,0.0002
96.24%,0.0001,0.0001,0.0003,0.0002
96.25%,0.0001,0.0001,0.0005,0.0002
96.7%,0.0001,0.0001,0.0003,0.0002
96.97%,0.0002,0.0001,0.0002,0.0002
97%,0.0001,0.0001,0.0003,0.0002
97.49%,0.0002,0.0001,0.0002,0.0002
98%,0.0001,0.0003,0.0002,0.0002
98.14%,0.0002,0.0001,0.0002,0.0002
98.79%,0.0001,0.0003,0.0002,0.0002
98.86%,0.0002,0.0001,0.0002,0.0002
99,0.0001,0.0003,0.0002,0.0002
99%,0.0001,0.0004,0.0002,0.0002
_,0.0004,0.0001,0.0002,0.0002
abc,0.0008,0.0001,0.0002,0.0002
abc-ga-ql,0.0004,0.0001,0.0002,0.0002
abil,0.0005,0.0005,0.0012,0.0003
abl,0.0001,0.0003,0.0002,0.0003
ablat,0.0001,0.0003,0.0007,0.0002
abnorm,0.0001,0.0004,0.0002,0.0002
absenc,0.0002,0.0001,0.0002,0.0002
absolut,0.0001,0.0005,0.0007,0.0002
abstract,0.0002,0.0001,0.0002,0.0002
academ,0.0001,0.0003,0.0002,0.0005
acc,0.0001,0.0001,0.0002,0.0003
acceler,0.0004,0.0004,0.0003,0.0002
accept,0.0004,0.0003,0.0002,0.0002
access,0.0003,0.0003,0.0002,0.0005
accompani,0.0001,0.0001,0.0002,0.0003
accomplish,0.0002,0.0001,0.0003,0.0003
accord,0.0004,0.0003,0.0002,0.0003
account,0.0002,0.0003,0.0002,0.0002
accur,0.0004,0.001,0.0015,0.0003
accuraci,0.0013,0.0035,0.0061,0.001
achiev,0.0025,0.0021,0.002,0.001
aco,0.0002,0.0001,0.0002,0.0002
acoust,0.0004,0.0001,0.0002,0.0002
acquir,0.0001,0.0003,0.0003,0.0002
acquisit,0.0001,0.0003,0.0002,0.0003
across,0.0022,0.0013,0.0007,0.0007
act,0.0001,0.0001,0.0002,0.0003
activ,0.0005,0.0004,0.0007,0.0005
actual,0.0004,0.0004,0.0002,0.0002
ad,0.0002,0.0003,0.0002,0.0002
adaboost,0.0001,0.0003,0.0003,0.0002
adam,0.0001,0.0003,0.0002,0.0002
adapt,0.0023,0.0018,0.001,0.0009
adasyn,0.0001,0.0003,0.0002,0.0002
